id	label
1	0
2	1
3	0
4	1
5	1
6	1
7	0
8	1
9	0
10	0
11	0
12	1
13	1
14	0
15	0
16	1
17	0
18	1
19	0
20	1
21	0
22	0
23	1
24	0
25	1
26	0
27	1
28	1
29	1
30	1
31	1
32	1
33	0
34	1
35	0
36	0
37	1
38	1
39	0
40	1
41	0
42	0
43	1
44	1
45	1
46	0
47	1
48	1
49	0
50	0
51	1
52	0
53	1
54	1
55	0
56	1
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	1
66	1
67	0
68	1
69	1
70	1
71	1
72	1
73	0
74	0
75	0
76	0
77	0
78	1
79	0
80	0
81	0
82	0
83	0
84	0
85	1
86	0
87	1
88	1
89	0
90	0
91	0
92	1
93	1
94	0
95	0
96	1
97	1
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	1
111	0
112	1
113	0
114	0
115	1
116	0
117	1
118	0
119	1
120	1
121	0
122	0
123	1
124	0
125	1
126	0
127	0
128	0
129	1
130	1
131	0
132	1
133	1
134	0
135	1
136	0
137	1
138	1
139	0
140	1
141	1
142	0
143	0
144	0
145	1
146	0
147	1
148	1
149	0
150	0
151	0
152	0
153	1
154	0
155	0
156	0
157	0
158	1
159	1
160	1
161	0
162	0
163	1
164	1
165	1
166	0
167	0
168	0
169	1
170	1
171	1
172	1
173	0
174	0
175	0
176	1
177	0
178	1
179	1
180	0
181	1
182	0
183	1
184	0
185	1
186	1
187	1
188	0
189	1
190	1
191	0
192	1
193	0
194	1
195	0
196	0
197	0
198	0
199	1
200	0
201	0
202	1
203	0
204	0
205	0
206	1
207	0
208	1
209	1
210	1
211	0
212	0
213	1
214	1
215	0
216	0
217	1
218	1
219	0
220	1
221	1
222	0
223	1
224	1
225	1
226	0
227	1
228	0
229	1
230	0
231	1
232	1
233	1
234	0
235	1
236	0
237	1
238	0
239	0
240	0
241	0
242	1
243	1
244	0
245	0
246	1
247	0
248	0
249	0
250	1
251	0
252	0
253	1
254	1
255	0
256	1
257	1
258	1
259	0
260	0
261	1
262	0
263	1
264	1
265	0
266	1
267	1
268	1
269	0
270	1
271	1
272	1
273	0
274	1
275	0
276	1
277	1
278	0
279	1
280	1
281	0
282	1
283	1
284	0
285	0
286	1
287	0
288	0
289	1
290	0
291	1
292	1
293	1
294	0
295	0
296	0
297	1
298	0
299	1
300	1
301	0
302	1
303	0
304	0
305	1
306	0
307	0
308	0
309	0
310	0
311	0
312	1
313	1
314	0
315	0
316	1
317	0
318	0
319	0
320	0
321	1
322	1
323	1
324	0
325	1
326	1
327	1
328	0
329	0
330	1
331	0
332	1
333	1
334	0
335	1
336	0
337	1
338	0
339	1
340	1
341	1
342	0
343	0
344	0
345	0
346	1
347	1
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	1
362	0
363	0
364	1
365	0
366	0
367	1
368	1
369	0
370	0
371	1
372	1
373	0
374	0
375	1
376	1
377	0
378	0
379	0
380	0
381	0
382	1
383	0
384	0
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	1
394	0
395	1
396	1
397	1
398	0
399	1
400	0
401	1
402	0
403	0
404	1
405	1
406	0
407	0
408	1
409	1
410	0
411	1
412	1
413	0
414	0
415	1
416	1
417	0
418	1
419	0
420	0
